family_id,template_id,template_label,category,sport,resolution_equivalence,skip,direction,spread_at_entry,cheap_state,exp_state,gross_dollars,net_dollars,hold_days,entry_threshold_used,snapshot_interval_ms,void_refund_model
3141,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3142,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3143,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3144,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3148,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3151,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3152,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3153,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3154,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3155,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3156,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3157,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3158,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
3159,sports.mlb.kalshi-polymarket,Sports — MLB (kalshi/polymarket),sports,mlb,equivalent,outcomes_missing,,,,,,,,0.01,3600000,full_refund_v1
